,brand,category,name,rating,number_of_reviews,price,value_price,MarketingFlags,MarketingFlags_content,online_only,exclusive,limited_edition,limited_time_offer,likes
41,AERIN,Perfume,Hibiscus Palm Eau de Parfum,1,39,130.0,130.0,True,online only,1,0,0,0,4400
42,AERIN,Perfume,Wild Geranium Travel Spray,1,2,30.0,30.0,True,online only,1,0,0,0,697
43,AERIN,Perfume,Tangier Vanille,0,33,130.0,130.0,True,online only,1,0,0,0,1500
45,AERIN,Fragrance,Mini Amber Musk Eau de Parfum Travel Spray,1,33,30.0,30.0,True,online only,1,0,0,0,4700
46,AERIN,Perfume,Gardenia Rattan,1,17,130.0,130.0,True,online only,1,0,0,0,1800
47,AERIN,Lip Balm & Treatment,Rose Lip Conditioner,1,386,30.0,30.0,True,online only,1,0,0,0,17000
49,AERIN,Perfume,Aegea Blossom Eau de Parfum,1,12,130.0,130.0,True,online only,1,0,0,0,1100
50,AERIN,Rollerballs & Travel Size,Mini Aegea Blossom Eau de Parfum Travel Spray,1,11,30.0,30.0,True,online only,1,0,0,0,1300
51,AERIN,Perfume,Evening Rose,1,23,130.0,130.0,True,online only,1,0,0,0,2900
52,AERIN,Perfume,Iris Meadow,1,9,130.0,130.0,True,online only,1,0,0,0,1400
53,AERIN,Lotions & Oils,Waterlily Sun Body Cream,1,4,15.0,15.0,False,0,0,0,0,0,961
54,AERIN,Rollerballs & Travel Size,Ikat Jasmine Rollerball,1,3,30.0,30.0,True,online only,1,0,0,0,1300
55,AERIN,Perfume,Garden Rose Eau de Cologne,1,3,175.0,175.0,True,online only,1,0,0,0,1600
57,Aether Beauty,Eye Palettes,Solstice Eyeshadow Palette,1,116,58.0,58.0,False,0,0,0,0,0,6100
58,Aether Beauty,Eye Palettes,Rose Quartz Crystal Gemstone Eyeshadow Palette,1,170,58.0,58.0,False,0,0,0,0,0,8200
59,Aether Beauty,Highlighter,Supernova Crushed Diamond Highlighter,1,59,38.0,38.0,False,0,0,0,0,0,3900
60,Aether Beauty,Cheek Palettes,Crystal Charged Cheek Palette,1,18,44.0,44.0,True,limited edition · online only,1,0,1,0,1000
61,Aether Beauty,Eye Palettes,Amethyst Crystal Gemstone Eyeshadow Palette,1,54,58.0,58.0,True,online only,1,0,0,0,2400
62,Aether Beauty,Lipstick,Radiant Ruby Lip Crème,1,35,28.0,28.0,True,online only,1,0,0,0,4100
63,Algenist,Face Serums,GENIUS Liquid Collagen,1,656,115.0,115.0,True,exclusive,0,1,0,0,41300
65,Algenist,Value & Gift Sets,Secrets of Algae Kit,1,38,125.0,200.0,True,limited edition · exclusive,0,1,1,0,12600
66,Algenist,Moisturizers,GENIUS Ultimate Anti-Aging Cream,1,462,112.0,112.0,False,0,0,0,0,0,16200
67,Algenist,Eye Creams & Treatments,Complete Eye Renewal Balm,1,873,68.0,68.0,False,0,0,0,0,0,27500
68,Algenist,Face Sunscreen,SUBLIME DEFENSE Ultra Lightweight UV Defense Fluid SPF 50,1,422,28.0,28.0,False,0,0,0,0,0,21300
70,Algenist,Lip Balms & Treatments,GENIUS Liquid Collagen Lip,1,491,35.0,35.0,True,exclusive,0,1,0,0,32100
71,Algenist,Face Serums,GENIUS Ultimate Anti-Aging Vitamin C+ Serum,1,221,118.0,118.0,False,0,0,0,0,0,8900
72,Algenist,Mini Size,Mini GENIUS Liquid Collagen ,0,0,25.0,25.0,True,exclusive,0,1,0,0,0
73,Algenist,Face Masks,ALIVE Prebiotic Balancing Mask,1,63,38.0,38.0,True,exclusive,0,1,0,0,8100
75,Algenist,Moisturizers,Overnight Restorative Cream,1,234,94.0,94.0,False,0,0,0,0,0,8900
76,Algenist,Face Serums,POWER Recharging Night Pressed Serum,1,184,95.0,95.0,True,exclusive,0,1,0,0,8800
77,Algenist,Value & Gift Sets,Pure GENIUS Collection Kit,0,58,80.0,144.0,True,exclusive,0,1,0,0,8200
78,Algenist,Face Wash & Cleansers,GENIUS Ultimate Anti-Aging Melting Cleanser,1,302,38.0,38.0,False,0,0,0,0,0,7100
79,Algenist,Eye Creams & Treatments,POWER Advanced Wrinkle Fighter 360° Eye Serum,1,73,70.0,70.0,True,exclusive,0,1,0,0,7200
80,Algenist,Decollete & Neck Creams,ELEVATE Firming & Lifting Neck Cream,1,3,84.0,84.0,True,exclusive,0,1,0,0,1400
81,Algenist,Face Serums,ELEVATE Advanced Retinol Serum,1,24,98.0,98.0,False,0,0,0,0,0,4100
82,Algenist,Value & Gift Sets,Plump & Pout Duo,1,20,40.0,60.0,True,limited edition · exclusive,0,1,1,0,6400
83,Algenist,Value & Gift Sets,10 Day Transformation Kit,1,21,95.0,95.0,True,limited edition · exclusive · online only,1,1,1,0,3900
84,Algenist,Moisturizers,GENIUS Collagen Calming Relief,1,77,58.0,58.0,True,exclusive,0,1,0,0,6800
85,Algenist,Face Oils,Advanced Anti-Aging Repairing Oil,1,232,82.0,82.0,False,0,0,0,0,0,8000
86,Algenist,Moisturizers,POWER Advanced Wrinkle Fighter Moisturizer,1,67,85.0,85.0,True,exclusive,0,1,0,0,4200
87,Algenist,Face Wash & Cleansers,GENIUS Ultimate Anti-Aging Foaming Cleanser,1,26,38.0,38.0,False,0,0,0,0,0,2300
88,Algenist,Value & Gift Sets,Total GENIUS Duo,1,2,112.0,137.0,True,limited edition · exclusive · online only,1,1,1,0,780
89,Algenist,Face Serums,AA (Alguronic Acid) Barrier Serum,1,72,85.0,85.0,True,exclusive,0,1,0,0,2400
90,Algenist,Hand Cream & Foot Cream,GENIUS Liquid Collagen Hand Cream,1,14,38.0,38.0,False,0,0,0,0,0,1400
91,Algenist,Moisturizers,ELEVATE Advanced Lift Contouring Cream,1,37,96.0,96.0,False,0,0,0,0,0,2200
92,Algenist,Face Serums,Concentrated Reconstructing Serum,1,299,98.0,98.0,False,0,0,0,0,0,5400
93,Algenist,Face Wash & Cleansers,Gentle Rejuvenating Cleanser,1,240,28.0,28.0,False,0,0,0,0,0,4800
94,Algenist,Face Primer,REVEAL Color Correcting Radiant Primer,1,83,36.0,36.0,False,0,0,0,0,0,3800
96,Algenist,Color Correct,REVEAL Concentrated Color Correcting Drops,1,269,38.0,38.0,False,0,0,0,0,0,14600
97,Algenist,Mists & Essences,Hydrating Essence Toner,1,160,25.0,25.0,False,0,0,0,0,0,9900
99,Algenist,Tinted Moisturizer,Repairing Tint & Radiance Moisturizer SPF 30,1,110,42.0,42.0,False,0,0,0,0,0,4200
100,Algenist,Mists & Essences,Splash Hydrating Setting Mist,1,65,35.0,35.0,False,0,0,0,0,0,8400
101,Algenist,Face Serums,Pore Corrector Anti-Aging Primer,1,179,42.0,42.0,False,0,0,0,0,0,9500
102,Algenist,Face Masks,PERFECT Clarifying Pore Corrector Mask,1,55,55.0,55.0,False,0,0,0,0,0,6000
103,Algenist,Color Correct,REVEAL Color Correcting Eye Serum Brightener,1,39,31.0,31.0,True,exclusive,0,1,0,0,3500
104,Algenist,Concealer,REVEAL Color Correcting Eye Serum Concealer,1,26,33.0,33.0,True,exclusive,0,1,0,0,2000
105,Algenist,Beauty Supplements,Spirulina Microalgae - Vitamin C Probiotic Supplement,1,5,65.0,65.0,True,online only,1,0,0,0,395
106,Algenist,Eye Creams & Treatments,ELEVATE Firming & Lifting Contouring Eye Cream,0,23,72.0,72.0,False,0,0,0,0,0,1000
107,Algenist,Face Masks,SPLASH Absolute Hydration Replenishing Sleeping Pack,0,54,48.0,48.0,False,0,0,0,0,0,2100
108,Algenist,Beauty Supplements,Chlorella Microalgae - Pro-Collagen Blend Supplement,1,7,65.0,65.0,True,online only,1,0,0,0,429
109,Algenist,Beauty Supplements,Irish Moss Algae - Vitamin C + E Supplement,1,4,65.0,65.0,True,online only,1,0,0,0,237
110,Algenist,Value & Gift Sets,Algenist Weekender Kit,1,2,95.0,129.0,True,exclusive,0,1,0,0,692
111,Algenist,Moisturizers,ALIVE Prebiotic Balancing Moisturizer SPF 15,0,21,40.0,40.0,True,exclusive,0,1,0,0,1100
114,Algenist,Color Correct,Color Correcting Finishing Powder,1,46,38.0,38.0,False,0,0,0,0,0,3900
115,Alpha-H,Face Serums,Liquid Gold Exfoliating Treatment,1,633,60.0,60.0,True,exclusive,0,1,0,0,6400
116,Alpha-H,Mini Size,Liquid Gold Mini,0,17,20.0,20.0,False,0,0,0,0,0,4100
117,Alpha-H,Face Serums,Vitamin B Serum,1,5,70.0,70.0,True,online only,1,0,0,0,1400
118,Alpha-H,Face Wash & Cleansers,Balancing Cleanser,1,10,44.0,44.0,True,online only,1,0,0,0,499
119,Alpha-H,Face Serums,Vitamin A Serum,1,3,70.0,70.0,True,online only,1,0,0,0,1100
120,Alpha-H,Face Masks,Liquid Gold Ultimate Perfecting Mask,1,7,75.0,75.0,False,0,0,0,0,0,680
122,Alpha-H,Facial Peels,Beauty Sleep Power Peel,1,3,129.0,129.0,True,online only,1,0,0,0,1500
123,Alpha-H,Eye Creams & Treatments,Liquid Gold Firming Eye Cream,1,9,99.0,99.0,False,0,0,0,0,0,598
124,Alpha-H,Exfoliators,Micro Cleanse Super Scrub,0,3,50.0,50.0,True,online only,1,0,0,0,438
125,Alpha-H,Moisturizers,Essential Hydration Cream,1,6,52.0,52.0,True,online only,1,0,0,0,472
126,Alpha-H,Face Wash & Cleansers,Triple Action Cleanser,1,3,44.0,44.0,True,online only,1,0,0,0,403
127,Alpha-H,Moisturizers,Balancing Moisturizer & Gentle Exfoliant,0,6,62.0,62.0,True,online only,1,0,0,0,533
129,alpyn beauty,Face Serums,PlantGenius® Brightening Survival Serum,1,57,68.0,68.0,True,online only,1,0,0,0,2400
131,alpyn beauty,Eye Creams & Treatments,PlantGenius® Line-Filling Eye Balm with Bakuchiol,1,74,62.0,62.0,True,online only,1,0,0,0,4200
132,alpyn beauty,Face Masks,Calming Sleeping Mask with Melatonin & Wild Dandelion,1,66,68.0,68.0,True,online only,1,0,0,0,3900
134,ALTERNA Haircare,Shampoo,CAVIAR Anti-Aging® Replenishing Moisture Shampoo,1,747,34.0,34.0,True,online only,1,0,0,0,26400
135,ALTERNA Haircare,Value & Gift Sets,CAVIAR Anti-Aging® Replenishing Moisture Essentials,1,7,65.0,97.0,True,limited edition · exclusive · online only,1,1,1,0,1700
137,ALTERNA Haircare,Shampoo,CAVIAR Anti-Aging® Clinical Densifying Shampoo,1,148,34.0,34.0,True,online only,1,0,0,0,7100
138,ALTERNA Haircare,Scalp & Hair Treatments,CAVIAR Anti-Aging® Clinical Densifying Leave-In Root Treatment,1,174,38.0,38.0,True,online only,1,0,0,0,15400
140,ALTERNA Haircare,Conditioner,CAVIAR Anti-Aging® Restructuring Bond Repair Conditioner,1,96,34.0,34.0,True,online only,1,0,0,0,2100
141,ALTERNA Haircare,Shampoo,CAVIAR Anti-Aging® Multiplying Volume Shampoo,1,117,34.0,34.0,True,online only,1,0,0,0,4000
142,ALTERNA Haircare,Conditioner,CAVIAR Anti-Aging® Multiplying Volume Conditioner,1,97,34.0,34.0,True,online only,1,0,0,0,3100
143,ALTERNA Haircare,Hair Styling Products,CAVIAR Anti-Aging® Restructuring Bond Repair Leave-In Heat Protection Spray,1,97,32.0,32.0,True,online only,1,0,0,0,5300
145,ALTERNA Haircare,Hair Spray,CAVIAR Anti-Aging® Working Hairspray,1,150,21.0,21.0,True,online only,1,0,0,0,7700
146,ALTERNA Haircare,Shampoo,CAVIAR Anti-Aging® Infinite Color Hold Shampoo,1,29,34.0,34.0,True,online only,1,0,0,0,1900
148,ALTERNA Haircare,Conditioner,CAVIAR Anti-Aging® Replenishing Moisture Priming Leave-In Conditioner,1,187,32.0,32.0,True,online only,1,0,0,0,2100
149,ALTERNA Haircare,Hair Styling Products,CAVIAR Anti-Aging® Smoothing Anti-Frizz Dry Oil Mist,1,195,34.0,34.0,True,online only,1,0,0,0,8600
150,ALTERNA Haircare,Scalp & Hair Treatments,CAVIAR Anti-Aging® Restructuring Bond Repair 3-in-1 Sealing Serum,1,154,38.0,38.0,True,online only,1,0,0,0,3300
151,ALTERNA Haircare,Shampoo,CAVIAR Anti-Aging® Smoothing Anti-Frizz Shampoo,1,110,34.0,34.0,True,online only,1,0,0,0,1200
152,ALTERNA Haircare,Hair Styling Products,CAVIAR Anti-Aging® Multiplying Volume Styling Mist,1,370,30.0,30.0,True,online only,1,0,0,0,14100
153,ALTERNA Haircare,Conditioner,CAVIAR Anti-Aging® Infinite Color Hold Conditioner,1,18,34.0,34.0,True,online only,1,0,0,0,1300
154,ALTERNA Haircare,Hair Styling Products,CAVIAR Anti-Aging® Rapid Blowout Balm,1,186,30.0,30.0,True,online only,1,0,0,0,2200
155,ALTERNA Haircare,Hair Styling Products,CAVIAR Anti-Aging® Smoothing Anti-Frizz Blowout Butter,1,169,34.0,34.0,True,online only,1,0,0,0,5200
157,ALTERNA Haircare,Hair Masks,CAVIAR Anti-Aging® Restructuring Bond Repair Leave-In Overnight Serum,1,446,40.0,40.0,True,online only,1,0,0,0,1800
158,ALTERNA Haircare,Scalp & Hair Treatments,CAVIAR Anti-Aging® Clinical Densifying Styling Mousse,1,59,38.0,38.0,True,online only,1,0,0,0,4800
161,ALTERNA Haircare,Conditioner,CAVIAR Anti-Aging® Smoothing Anti-Frizz Conditioner,1,107,34.0,34.0,True,online only,1,0,0,0,948
162,ALTERNA Haircare,Hair Primers,CAVIAR Anti-Aging® Perfect Iron Spray,1,157,30.0,30.0,True,online only,1,0,0,0,3600
163,ALTERNA Haircare,Hair Styling Products,Caviar Anti-Aging Smoothing Anti-Frizz Air-Dry Balm,1,63,32.0,32.0,True,online only,1,0,0,0,628
164,ALTERNA Haircare,Scalp & Hair Treatments,CAVIAR Anti-Aging® Restructuring Bond Repair Leave-In Protein Cream,1,13,37.0,37.0,True,online only,1,0,0,0,1500
165,ALTERNA Haircare,Hair Styling Products,CAVIAR Anti-Aging® Replenishing Moisture Leave-In Smoothing Gelee,1,98,30.0,30.0,True,exclusive · online only,1,1,0,0,4900
166,ALTERNA Haircare,Value & Gift Sets,CAVIAR Anti-Aging® Multiplying Volume Trial Kit,0,8,25.0,36.0,True,limited edition · online only,1,0,1,0,1800
167,ALTERNA Haircare,Dry Shampoo,CAVIAR Anti-Aging® Sheer Dry Shampoo Powder Spray,1,133,25.0,25.0,True,online only,1,0,0,0,1600
168,ALTERNA Haircare,Hair Spray,CAVIAR Anti-Aging® Perfect Texture Spray,1,86,30.0,30.0,True,online only,1,0,0,0,935
169,ALTERNA Haircare,Scalp & Hair Treatments,CAVIAR Anti-Aging® Restructuring Bond Repair Leave-In Treatment Mousse,1,429,45.0,45.0,True,online only,1,0,0,0,1000
170,ALTERNA Haircare,Hair Styling Products,CAVIAR Anti-Aging® Rapid Repair Spray,1,71,32.0,32.0,True,online only,1,0,0,0,4700
171,ALTERNA Haircare,Hair Spray,CAVIAR Anti-Aging® Sea Salt Spray,1,175,30.0,30.0,True,online only,1,0,0,0,749
172,ALTERNA Haircare,Hair Styling Products,CAVIAR Anti-Aging® Infinite Color Hold Topcoat Spray,1,16,32.0,32.0,True,online only,1,0,0,0,2400
173,ALTERNA Haircare,Hair,CAVIAR Anti-Aging® Replenishing Moisture Conditioner Mini,1,16,10.0,10.0,True,limited edition · online only,1,0,1,0,3100
174,ALTERNA Haircare,Hair,CAVIAR Anti-Aging® Replenishing Moisture Shampoo Mini,1,18,10.0,10.0,True,limited edition · online only,1,0,1,0,3200
175,amika,Hair Masks,Soulfood Nourishing Mask,1,1000,28.0,28.0,False,0,0,0,0,0,48900
177,amika,Conditioner,Bust Your Brass Cool Blonde Conditioner,1,180,24.0,24.0,False,0,0,0,0,0,21800
178,amika,Dry Shampoo,Perk Up Dry Shampoo,1,1000,25.0,25.0,False,0,0,0,0,0,40500
179,amika,Hair Masks,Flash Instant Shine Hair Mask,1,170,25.0,25.0,False,0,0,0,0,0,12500
180,amika,Hair Thinning & Hair Loss,High Tide Deep Waver,1,87,120.0,120.0,True,limited edition · exclusive,0,1,1,0,14000
181,amika,Hair Masks,The Kure Intense Repair Mask,1,90,38.0,38.0,True,online only,1,0,0,0,13100
182,amika,Value & Gift Sets,Blonde Maintenance - Bust Your Brass Starter Set,1,16,29.0,44.0,False,0,0,0,0,0,3700
183,amika,Hair Primers,The Wizard Detangling Primer,1,275,25.0,25.0,False,0,0,0,0,0,20900
184,amika,Scalp & Hair Treatments,Reset Pink Charcoal Scalp Cleansing Oil,1,89,25.0,25.0,False,0,0,0,0,0,12500
185,amika,Hair Straighteners & Flat Irons,Polished Perfection Straightening Brush 2.0,1,139,120.0,120.0,True,exclusive,0,1,0,0,8700
186,amika,Hair Styling Products,Un.Done Volume and Matte Texture Spray,1,681,25.0,25.0,False,0,0,0,0,0,18100
189,amika,Hair Styling Products,Blockade Heat Defense Serum,1,24,25.0,25.0,False,0,0,0,0,0,7300
190,amika,Hair Straighteners & Flat Irons,Blowout Babe Thermal Brush,1,189,100.0,100.0,False,0,0,0,0,0,14100
191,amika,Hair,The Kure Intense Repair Mask Mini,1,25,14.0,14.0,True,online only,1,0,0,0,5600
192,amika,Conditioner,The Kure Repair Conditioner,1,21,22.0,22.0,False,0,0,0,0,0,3500
193,amika,Shampoo,Reset Clarifying Gel Shampoo,1,91,25.0,25.0,False,0,0,0,0,0,4000
194,amika,Shampoo,Vault Color-Lock Shampoo,1,27,16.0,16.0,False,0,0,0,0,0,4100
196,amika,Conditioner,3D Volume and Thickening Conditioner,0,44,20.0,20.0,False,0,0,0,0,0,3500
197,amika,Shampoo,The Kure Repair Shampoo,0,46,18.0,18.0,True,exclusive,0,1,0,0,3900
198,amika,Conditioner,Normcore Signature Conditioner,1,19,16.0,16.0,True,exclusive · online only,1,1,0,0,2100
200,amika,Value & Gift Sets,Not So Basics Travel Set,1,50,29.0,52.0,True,exclusive,0,1,0,0,10700
201,amika,Conditioner,Velveteen Dream Smoothing Conditioner,0,28,20.0,20.0,False,0,0,0,0,0,4200
202,amika,Hair,Bust Your Brass Cool Blonde Shampoo Mini,0,21,12.0,12.0,False,0,0,0,0,0,5000
204,amika,Value & Gift Sets,Jack of All Curls,1,14,250.0,250.0,True,exclusive · online only,1,1,0,0,6900
205,amika,Hair Styling Products,Curl Corps Defining Cream,1,25,25.0,25.0,True,online only,1,0,0,0,4300
206,amika,Shampoo,Velveteen Dream Smoothing Shampoo,1,42,20.0,20.0,False,0,0,0,0,0,4600
207,amika,Hair Straighteners & Flat Irons,Blowout Babe Interchangeable Thermal Brush,0,40,150.0,165.0,True,exclusive,0,1,0,0,8300
208,amika,Hair Straighteners & Flat Irons,Illuminati Diamond Ceramic Styler,1,17,120.0,120.0,True,online only,1,0,0,0,1300
209,amika,Shampoo,Normcore Signature Shampoo,1,29,16.0,16.0,True,exclusive · online only,1,1,0,0,2600
210,amika,Hair Dryers,The CEO 360° Lightweight Powerhouse Hair Dryer,1,17,200.0,200.0,False,0,0,0,0,0,1100
212,amika,Conditioner,Vault Leave-In Conditioner,1,41,25.0,25.0,False,0,0,0,0,0,5900
213,amika,Hair Styling Products,Brooklyn Bombshell Blowout Volume Spray,1,157,25.0,25.0,False,0,0,0,0,0,15000
214,amika,Shampoo,Reset Exfoliating Jelly Shampoo,1,47,25.0,25.0,True,exclusive,0,1,0,0,6900
215,amika,Hair Spray,Fluxus Touchable Hairspray,1,65,25.0,25.0,False,0,0,0,0,0,6500
216,amika,Hair Oil,Glass Action Universal Elixir,1,20,28.0,28.0,True,online only,1,0,0,0,4600
217,amika,Hair Styling Products,Curl Corps Enhancing Gel,1,27,25.0,25.0,True,online only,1,0,0,0,3400
218,amika,Hair Styling Products,Supernova Blonde Violet Moisture and Shine Cream,1,27,25.0,25.0,False,0,0,0,0,0,4000
219,amika,Hair,Bust Your Brass Cool Blonde Conditioner Mini,1,2,12.0,12.0,True,online only,1,0,0,0,0
220,amika,Conditioner,Reset Cooling Gel Conditioner,1,76,25.0,25.0,False,0,0,0,0,0,1800
221,amika,Hair Styling Products,Plus Size Volume & Body Mousse,1,35,25.0,25.0,False,0,0,0,0,0,4500
222,amika,Color Care,Bust Your Brass Violet Leave-In Treatment,1,29,25.0,25.0,False,0,0,0,0,0,4000
223,amika,Hair Styling Products,The Shield Anti-Humidity Spray,1,41,25.0,25.0,False,0,0,0,0,0,6600
224,amika,Hair Styling Products,Supernova Moisture and Shine Cream,1,30,25.0,25.0,True,online only,1,0,0,0,2800
225,amika,Value & Gift Sets,Mighty Mini Jet Set Kit,0,24,80.0,80.0,True,exclusive,0,1,0,0,9000
226,amika,Hair Styling Products,Got Grit Dry Texture Paste,1,29,25.0,25.0,True,online only,1,0,0,0,2300
227,amika,Conditioner,Silken Up Dry Conditioner,1,63,25.0,25.0,False,0,0,0,0,0,7900
228,amika,Shampoo,Sexture Beach Look Shampoo,1,36,25.0,25.0,False,0,0,0,0,0,2500
229,amika,Hair Styling Products,Thicc Volumizing Base,0,55,25.0,25.0,False,0,0,0,0,0,3600
230,amika,Hair Styling Products,Vandal Volume Powder Spray,1,16,25.0,25.0,False,0,0,0,0,0,2700
231,amika,Hair Spray,Bushwick Beach No-Salt Wave Spray,0,523,25.0,25.0,False,0,0,0,0,0,3200
232,amika,Hair,Un.Done Volume and Matte Texture Spray Mini,1,8,10.0,10.0,False,0,0,0,0,0,4800
233,amika,Curling Irons,Curl Icon Barrel Pack,1,3,60.0,60.0,True,exclusive,0,1,0,0,3300
234,amika,Curling Irons,Curl Icon Base Kit,0,5,120.0,120.0,True,exclusive,0,1,0,0,2500
235,amika,Color Care,Desert Trip Temporary Color Spray,1,4,18.0,18.0,True,limited edition · online only,1,0,1,0,483
236,amika,Hair Straighteners & Flat Irons,The Antidote Silk Wrap Styler,0,20,150.0,150.0,False,0,0,0,0,0,1800
237,amika,Curling Irons,The Autopilot 3-in-1 Rotating Curling Iron,0,4,120.0,120.0,True,online only,1,0,0,0,751
238,amika,Hair Dryers,The Immortal Power-life Dryer,0,0,300.0,300.0,False,0,0,0,0,0,323
239,AMOREPACIFIC,Facial Peels,Treatment Enzyme Exfoliating Powder Cleanser,1,1000,60.0,60.0,False,0,0,0,0,0,55700
240,AMOREPACIFIC,Face Wash & Cleansers,Treatment Cleansing Foam,1,449,50.0,50.0,False,0,0,0,0,0,14500
241,AMOREPACIFIC,BB & CC Cream,Color Control Cushion Compact Broad Spectrum SPF 50+,1,1000,60.0,60.0,False,0,0,0,0,0,30900
242,AMOREPACIFIC,Mists & Essences,Vintage Single Extract Essence,1,152,145.0,145.0,False,0,0,0,0,0,15300
243,AMOREPACIFIC,Moisturizers,MOISTURE BOUND Rejuvenating Crème,1,186,150.0,150.0,False,0,0,0,0,0,5600
244,AMOREPACIFIC,Eye Creams & Treatments,MOISTURE BOUND Rejuvenating Eye Treatment Gel,1,268,85.0,85.0,False,0,0,0,0,0,9700
245,AMOREPACIFIC,Toners,Treatment Toner ,1,183,50.0,50.0,False,0,0,0,0,0,15900
